District,Population,Healthcare_Facilities,Malaria_Cases,TB_Cases,HIV_Cases,Deaths,Year,Target_Cases,Priority_Level
Nyabihu,355797,8,2818,290,562,88,2021,2846,Medium
Gakenke,413606,6,665,104,704,75,2021,705,Low
Nyaruguru,288261,10,4494,166,265,15,2021,4018,High
Rulindo,418695,8,5143,189,635,26,2021,5759,High
Gasabo,345793,3,1279,247,174,69,2021,1277,Low
Kicukiro,293177,5,1903,82,601,84,2021,2625,Medium
Nyarugenge,360250,10,554,150,488,20,2021,1015,Low
Ruhango,199367,13,2338,48,244,71,2021,1976,Medium
Gisagara2,329211,3,2292,278,199,78,2021,2449,Medium
Kigali,221958,2,1975,70,423,35,2022,2008,Medium
Huye,246867,13,2841,228,224,42,2022,2632,Medium
Musanze,231932,11,3470,307,142,28,2022,3654,Medium
Rubavu,465838,7,944,252,210,43,2022,778,Low
Rusizi,359178,14,1509,186,322,79,2022,1331,Medium
Nyagatare,219879,13,3930,238,213,71,2022,3469,High
Rwamagana,210268,10,333,94,108,88,2022,675,Low
Gicumbi,307892,2,4659,250,608,37,2022,5056,High
Nyanza,154886,12,619,62,542,66,2022,435,Low
Karongi,237337,12,4179,122,620,44,2022,4838,High
Bugesera,575602,11,2679,121,198,59,2022,3631,Medium
Nyamasheke,530410,13,2938,126,603,80,2022,3816,Medium
Gisagara,187498,13,3927,152,652,67,2022,3997,High
Muhanga,474871,4,3155,99,12,10,2022,3579,Medium
Ngoma,488468,13,1986,103,360,29,2022,2343,Medium
Kayonza,275203,8,3764,213,563,36,2022,4107,High
Kirehe,291335,5,3818,295,409,53,2022,3371,High
Rutsiro,378167,10,3870,142,495,90,2022,4630,High
Burera,141090,4,1954,216,299,40,2022,2103,Medium
Ngororero,429365,6,-40,72,93,77,2022,-27,Low
Kamonyi,164820,4,4998,149,667,91,2022,5839,High
Nyabihu,362913,8,2216,303,497,102,2022,1910,Medium
Gakenke,421879,6,1172,146,634,61,2022,1661,Low
Nyaruguru,294027,10,3526,230,395,13,2022,3948,High
Rulindo,427069,8,4165,168,584,35,2022,4663,High
Gasabo,352709,3,2235,240,226,66,2022,3098,Medium
Kicukiro,299041,5,2408,115,644,83,2022,2676,Medium
Nyarugenge,367455,10,1537,184,427,7,2022,1929,Medium
Ruhango,203355,13,782,99,392,83,2022,1109,Low
Gisagara2,335796,3,1719,278,347,86,2022,2120,Medium
